Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bhutan,,,,,,,,,,,,,,,,,,,,"13,6452113528","15,43993283","13,6977377719","12,0591863414","12,9308041243","14,9929788959","17,6309046264","23,5471622787","28,0727232429","28,0478564227","26,8303708866","32,1582194304","31,9864823436","31,5684123162","29,5287425843","37,7689359257","35,4881290123","35,9047155495","33,100011391","31,1144920215","28,9843982651","28,9403741278","24,9200891039","26,1933571605","31,2926575928","38,2498414502","54,4194469731","54,9704162587","46,5858382615","45,7051872228","39,842813333","36,616821358"
Bolivia,,,,,,,,,,"24,5945051308","21,3923467036","21,1124401914","27,7133699996","35,2924380146","25,9383183008","27,6756479906","26,7741286137","22,5951437462","24,1747034697","24,5275198434","23,2660239016","29,0643469382","28,3167800421","23,6548638482","19,0499308159","21,3296182705","19,7409529259","18,7674469151","22,4982160482","22,7769813537","21,4793466403","20,0457611806","19,080765301","21,6633117417","22,5514219688","22,5818700897","21,1106028676","19,6986849544","16,8808993472","18,2747449722","19,9721493313","21,6344550981","25,6007344068","31,1383904946","35,5481429371","41,7717142422","41,7956567499","44,9065560022","35,7226248348","41,1874560691","44,1183835434"
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,4482894674","20,4117385979","23,6177056523","27,8336346462","27,3031972804","27,6439663013","28,6903396193","28,3925252632","24,3474146837","30,2893545795","32,2433275196","32,1445220064","36,6577461305","43,3314562041","41,0645046143","31,6692526276","35,7764969979","42,276703825"
Botswana,"27,2162720647","27,9259975225","28,9944859094","28,8109750786","31,7073170732","29,2682926829","24,6138479649","23,0526315789","22,7722772277","24,6555474982","33,1497797357","37,372147915","38,8315137209","40,9232988699","43,5941366838","50,3863987635","50,9007232084","52,0605378873","54,1230170608","53,0592444364","49,7050639955","54,5619826803","62,0834467473","60,8112721517","66,2910488225","68,3308494784","75,1295650856","70,5219405269","59,2245978547","55,0554070629","53,0295141612","48,1795630951","47,095353359","49,278208209","50,9453229029","54,1914171424","56,2485746763","48,8810901112","51,6012693819","53,264874055","44,2698222633","46,5692614395","45,3533861547","44,2261801223","51,2499205004","47,01432713","48,1782709214","42,1205497672","32,4639029514","32,9870884021","39,1419162526"
Brazil,"7,2794102393","3,8687613902","9,036455012","6,3854091094","7,7357614938","6,8247352997","5,7689709816","6,0005260336","6,6204038442","7,0294363034","6,4133066873","7,2591756668","8,2716777976","8,0131193933","7,538572813","7,0357135597","7,2523684752","6,6755788687","7,1239049507","9,0527298248","9,4203543082","7,6096827015","11,4218215925","13,5475849185","12,2479596663","8,8165886781","9,4599432177","10,8882167137","8,9296096801","8,1999900154","8,6769732","10,8682498028","10,5032702502","8,456924949","7,256806223","6,5667415118","6,820657469","6,9327748255","9,4110886489","9,9781938173","12,1814464849","14,096623274","14,9868701866","16,4250921582","15,1283508131","14,3684508393","13,3643803148","13,6631968034","10,9789949015","10,8715851234","11,8891676714"
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,"90,0542771959","90,0591972278","93,6549017377","94,6342386675","95,0126834571","95,061586656","93,3615069739","93,1432597973","89,3430496959","88,2704119942",,,,,,"61,8113183933","61,8084939665","66,6770914777","57,8723404255","54,7633403678","51,0812109563","59,7168405365","59,9334534868","57,1854347544","50,4719764012","55,8163396178","67,3543319832","69,5253062287","67,1218302628","69,2892518439","68,7990473478","70,1684472917","71,7246979556","67,8531183635","78,2992366861","72,7827100708","81,4387750051","81,2772119422"
Bulgaria,,,,,,,,,,,,,,,,,,,,"35,7078054915","35,6384351684","34,2829077661","37,1482444939","40,1311613899","42,7951276207","40,0336383458","40,7853001993","45,5656657726","46,4205950372","33,1191934327","43,4782608696","47,1115537849","38,2067581131","45,047564688","51,9210308682","59,3902193804","58,6822952164","59,0944152989","55,9830051144","50,4624131253","48,7218067695","47,4451597161","48,5270672335","51,9308431407","40,5369645085","61,2093218543","59,4665720777","58,2174023416","47,5076011821","57,4103877306","66,5128087141"
Burkina Faso,"5,4288860031","5,5319837161","5,5794920856","2,7988361533","4,6525965398","5,0517308603","4,9285061919","6,2047381168","5,8172137277","5,4552402032","5,5114675021","6,3997271656","6,3117975579","8,3207631834","7,3482543551","8,20525246","7,9602668553","7,4684192284","8,2461344007","8,9505210124","9,2764106116","8,1957161307","7,8841493919","10,9609136266","9,9214646895","8,9905631392","11,3588168036","10,9987001855","8,7488625961","10,9666914129","10,4475484448","8,8464803671","8,9515432794","14,2016211448","14,1405565369","10,5636052074","10,8125309989","12,8081030227","9,5183680675","9,0768347807","9,2434050938","8,8158035319","8,7943417593","10,7393339188","9,9209093031","11,3834993244",,,,,
Burundi,"12,9310346567","13,1147537052","7,5187970545","14,0939595273","10,3479635041","10,7761598187","10,8005897058","10,2956955708","9,6587153758","10,6887768314","8,4357498972","11,7344434463","11,016173204","9,7533974512","8,2756457242","13,7264838813","17,5956102293","11,7076927839","14,1626446403","8,8093805648","9,1433505094","10,2119749973","9,0455800831","11,5040069052","11,0266191811","11,7232284243","9,7449029107","12,5907700739","9,7457439752","7,8729922941","9,9173777176","8,7491805276","9,3819608636","10,2717650677","12,9263428484","5,8203210338","9,8355809382","7,9997894173","7,5757575758","6,5848304203","5,5226076153","4,958244862","6,5961360272","7,0797150431","8,2024991725","7,5315463032","7,0334217269","6,5127229058","5,3994250763","6,1347630917","5,485552759"
Cambodia,"12,8888890355","13,8528136993","17,2549017876","14,9635039292","11,5131578947","7,8125","8,902077219","8,5790887663","6,9544364935","5,7644109906",,,,,,,,,,,,,,,,,,,,,,,"16,0570736262","25,7919593881","31,1841815312","25,3640067396","33,6169355751","31,2381457938","40,5441861784","49,8462352299","52,596525401","55,4221375882","56,5204704905","63,6058949114","64,0847072521","68,59402347","65,3259680508","65,543250703","49,220763502","54,0827827919","54,0807559141"
Cameroon,,,,,"23,759392466","20,9947348676","20,625272652","22,1235516769","23,3834286119","26,2099316705","23,0181577734","20,3918695803","20,6937259101","25,4380898076","22,6849591281","22,6425968649","25,0599528673","23,6551978051","21,078546801","27,8847481892","21,8670533401","33,214337859","30,3976032746","33,4785941985","33,4487710585","23,2813706004","16,6942564335","16,0329748685","20,7070366384","20,1829144007","19,9988804611","20,5470222498","16,1796607621","21,1206552137","23,5752828239","23,3814444811","21,4281958248","21,4304440213","21,5024122413","29,1682091187","27,4961475889","25,004303737","23,9569829506","22,7102881071","24,4651528344","29,3047737459","31,0195608578","31,0659198198","23,5184035165","25,5659718054","30,6721884624"
Canada,"17,7529151284","17,7825630998","18,2530864927","19,1876247432","18,5361076569","19,3370650966","20,2686094919","21,1972331871","21,2454616316","22,3156167179","21,4469312906","21,6716857879","23,1799993796","24,5134317506","22,4339221638","22,1471644149","23,1833753445","25,047676997","26,8809666031","28,0823181399","26,9172832211","25,6900586797","25,4590579164","28,6397142234","28,2839284023","27,8529912729","26,8205149307","26,7237976558","25,684781551","25,8137342427","25,1195344976","27,0934216537","30,2074853132","34,0039150418","37,3235804379","38,3871214439","39,4914430524","41,4441737625","43,1840690688","45,5785327013","43,5417057745","41,5632684393","38,1208811589","38,4210779096","37,8088503434","36,1330111245","34,9582796424","35,1171684489","28,7463251765","29,4306072603","31,1662952598"
Cape Verde,,,,,,,,,,,,,,,,,,,,"17,0747682227","21,4691376894","22,9274304386","24,6279458193","22,7730558411","22,638478669","17,6098622737","18,0990410218","16,707662221","19,2254452013","17,1319694717","16,5640735306","17,2830075579","13,2608310886","15,0462995412","17,1369526776","20,1991575382","27,4417262887","22,7961528955","20,9759456899","27,0072185521","29,8094128848","32,5449566462","31,364351154","32,0041731038","37,7773604609","45,1322052433","42,8253541286","45,3363987003","35,6088886857","38,5669968639","42,2391471764"
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,"26,4900657761","24,5901650352","25,2365924485","28,4482694697","27,1002682927","28,3505154639","26,3027295285","34,3122977687","27,3346641223","31,9384978869","29,799232841","24,9348007751","28,6180418948","27,7368238969","21,1303466246","22,1868662251","25,2043976723","23,4203176379","22,4325673603","25,221545231","24,3834500211","22,1777521335","24,1489993174","23,3939942766","20,5433089333","16,5600492629","16,2338321641","15,2689235296","16,8449516955","14,7643415421","12,5383939768","11,5034077222","13,9854981949","23,9907878839","20,3878654732","17,3182316405","19,5159798049","17,0085788281","11,1478510737","20,7263743718","17,1559471092","16,2981374826","13,5011490189","13,7509295356","12,7276133852","14,191655347","14,111240589","11,0076956946","9,525508929","10,5911708268","11,8540608731"
