Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Italy,"12,7924035045","12,6705820052","12,1648892159","12,8182632951","14,2891816966","14,6982925558","14,4631802457","15,2407957181","15,8441183215","15,8038130015","16,2379176814","17,0023590235","16,7854948074","19,3061893862","19,5232183962","20,8910848757","22,2824245834","22,5941350659","23,3304381146","21,0384509349","22,5801628142","22,0117559055","21,1914659116","21,8915292669","22,0040653583","19,4936881739","18,7434214954","18,3202129127","19,2985184732","19,0304364184","17,7553493882","18,2172430903","21,2604413014","22,7945880924","25,7142774654","24,6811397533","25,2075518601","25,1543062233","24,2799264505","26,7687954707","26,8579723798","25,4820547399","24,4147682283","25,1899103763","25,873281347","27,6200839718","28,8514101355","28,4562513393","23,746868447","26,5606439675","28,8393160988"
Jamaica,"33,2967757565","33,0163997696","34,1663423341","33,4573451998","33,2805299539","37,4521317335","36,0476305028","36,8356953056","36,7583346668","33,2308236176","33,8194011229","32,7774296096","31,5483452471","35,6752515747","35,2638073042","29,046136967","29,7667815921","40,5522548843","49,8072298511","51,0674380939","47,1895088866","38,0409374842","35,6961045917","55,5783518398","55,8611614882","48,8429870688","46,6017907309","43,6311221722","43,6122955473","48,0631754557","50,2073386871","62,2745440169","47,3941676622","51,29967753","50,5215109953","43,7863451681","39,1085562096",,,,,"32,7619366594","36,613430453","37,5492853454","35,2876872957","40,1399719857","39,7412511128","41,9356394015","34,3944047835","31,3117141356","30,9124665551"
Japan,"9,2779212972","9,430955198","9,0378585088","9,4941106225","10,5176731689","10,5782104658","9,6538311429","10,1119053036","10,5561704838","10,5934991837","11,4818667371","10,3755833295","9,8389592485","13,3321396454","12,5448940476","13,2894704912","12,836978164","10,9001274272","11,3393501583","13,4226557147","14,3988588166","14,2020678134","13,6327218199","14,7201636748","14,0948137409","11,0997377404","10,1465037367","9,7645548294","10,2377904721","10,2880224374","9,8744400457","9,7692318218","9,0572843621","9,0020966492","9,052576315","9,7005126434","10,7314568874","10,7774668029","10,1733758075","10,8773781038","10,4488201997","11,2528373405","11,8727533543","13,2103350775","14,3126554119","16,1716010081","17,746764366","17,7111637793","12,6956669023","15,1902388925","15,2210236417"
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,"33,5586408476","33,8113542283","34,1460284871","34,7808358818","39,8627467593","43,0272919077","39,3980365646","34,9756657735","37,6652871707","38,6842886843","29,3076354224","34,2388843611","45,0803744921","57,3078706631","61,9158265562","59,4585128367","50,2326615728","50,3407382551","47,8541077113","51,722310308","52,8713641078","49,2325897181","44,784647342","43,30222208","41,8120615241","42,1104706862","47,4114842393","47,3611418455","52,1909430621","52,7059753929","53,8744876767","54,2343660443","56,5059160455","45,8828286439","47,7885659992","45,5780129513"
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,004972471","37,8953951147","37,0647377091","38,9738609136","35,2688049307","34,9168566674","30,3442032905","42,4620955088","56,6024267995","45,8950186109","46,9906407562","48,4170220946","52,500410425","53,542468056","51,1512080913","49,4398353779","57,2499262315","42,0407367345","43,957263997","49,4749641564"
Kenya,"32,7171704544","32,0378098006","32,0329469409","33,38941364","31,3973152069","32,4116335163","28,4643343935","29,4008110569","29,528655083","29,8257255614","28,6393551028","26,58782886","27,3938346806","33,6758838503","29,8236859698","32,4504712438","34,9588687564","28,9355183366","25,7531542357","29,5169641636","30,4598813209","26,6574659278","25,9499323663","26,7498926954","25,2989329835","25,8483553067","21,3052213821","22,3712135573","23,0330294054","25,6926059838","27,0416323059","26,2603741892","38,9036301588","37,0402808339","32,5917012234","25,2006019526","22,6863873534","20,1692608275","20,8327351985","21,5875711376","22,9315763643","24,8979726147","24,0868153054","26,6102585753","28,5090302142","27,111758405","26,7785238501","27,6069771194","24,1520334583","27,7994607161","29,111094194"
Kiribati,,,,,,,,,,,,"44,0994181634","52,6005579052","69,3998355714","67,599876417","56,4001352199","55,7994448101","54,9012658228","61,2830465799","23,4378184486","29,7886523154","9,0728771246","13,2445668809","39,2304628864","21,1038961039","9,4356175066","9,687143317","18,1025965801","18,5901551632","11,6370429384","7,7604828165","8,5636718135","13,2478911862","26,0599603669","11,5805171104","16,1427005329","20,0695415975","24,3673128709","12,245942446","6,8819009905","6,5655309518","6,9584331088","9,7784738149","9,4074511084",,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,"5,2754335651","4,890197699","4,6339978689","5,6720554241","8,3020106624","10,0205628138","11,0228949166","12,2730570593","12,931822653","13,6256738666","14,9711979882","19,3887953721","28,6819715417","26,732838757","26,885934085","30,0115348317","30,3694099573","28,4158968017","26,5909069422","32,0645572265","34,268491372","33,2262533739","32,9725392814","33,3685185727","31,9721012454","35,6429447265","38,2713755292","36,4216714134","30,7954262747","27,9538681071","26,3330641682","26,5903091501","26,5285171953","26,637717727","28,8282928118","27,8619712508","32,3925325593","46,1640585429","39,0636178007","38,5641772043","35,7406459045","33,1258034785","35,3689941921","40,8830674161","39,2672978665","39,6839461243","41,9229487197","53,0088894578","49,7302158949","52,2783109057","56,159563738"
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,0781836257","14,74276479","14,4220233544","15,3716388917","18,5264256571","20,0543407944"
Kuwait,,"64,6248085758","65,3902798233","64,8648648649","67,6902536716","65,6908665105","59,5183486239","61,7245005258","63,4984833165","59,8168189475","66,3482444972","68,5997289617","71,9344214836","84,9593518587","80,470320519","77,9331691783","72,0262646275","70,5391266428","77,9701210811","78,3490477402","69,4981237734","54,5047726943","59,1293734518","60,1129758811","53,674920157","46,1865824527","52,5401345915","47,5646077199","52,4016848426","44,9389496533","16,9020388145","40,4702666978","47,7711858646","50,8536594334","52,3539561252","52,2838380253","52,8539604844","43,8593159557","45,9368961098","56,4736398271","51,3036152883","44,6160466609","52,0922408355","56,9161386082","63,9766032298","65,5446216491","63,4142598447","66,7592125189","59,4691252707","60,0746478083","65,9204694682"
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,2025056096","35,3322528363","35,5861340061","33,5312902684","33,7618144302","29,4671448303","30,738099003","38,2868893328","36,4832920828","42,2029196155","41,8477190592","36,7246725579","39,5814150454","38,6810291755","42,5558971027","38,7317243348","41,7205257289","52,9129788573","53,5489560986","54,6983469575","51,5543226756","57,2071907137"
Lao,,,,,,,,,,,,,,,,,,,,,,,,"2,7642277228","4,0375590132","3,6137440557","6,0924368437","13,628619805","12,1306752081","11,3287632867","12,9537264815","17,0257554209","21,4616192644","24,9869407181","23,2203889137","22,6987496242","23,8922247908","36,4558727551","35,8758415233","30,0958469212","28,4883602913","29,3845205084","29,6855815673","30,552762611","34,1575265365","40,3981494545","34,4991478325","32,0161490029","30,8815536705","35,5426319082","37,6805145144"
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,7098014094","35,2485609628","79,9440944819","73,2379004772","46,4577723378","42,6727646215","46,8157732193","46,8466698476","47,1803018268","40,3680746841","41,6417934325","41,5773929942","40,874733538","42,0709118946","43,960188603","47,8491240852","44,8843495968","42,3460044422","42,8159542067","43,8874567705","53,8115183534","59,3157262905"
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,3595031517","18,0028443223","13,2086547933","11,3777958256","9,6747389448","7,8706087354","10,8064548758","12,8463200009","14,5319587629","13,763432636","14,0639896274","14,1775557264","15,6049159995","16,0986422832","16,7365813377","20,059670594","21,3837050523","21,2528823982","23,0164403145","24,4282721358","20,6217933992","22,1745733941","23,7443016495"
Lesotho,"12,5490196078","14,381270903","14,880952381","15,3638814016","15,5612244898","10,8641975309","12,0481927711","12,0756436546","13,5823429542","12,2199592668","12,7970749543","16,077170418","14,2687277051","13,6585365854","14,4665461121","17,9127725857","11,8976799524","17,2562553926","22,103970528","21,0056530794","19,2913385827","15,8180568286","14,1206785484","14,4166194373","14,0606623336","14,083954571","13,2058054564","21,2197795679","21,7407390554","18,0862606487","19,0196606424","20,597792646","24,1429501968","25,0342990383","23,6881312539","30,6399560465","29,718092939","29,3481654881","29,6246716554","34,2184333696","46,4803559768","61,0864102484","54,8865741877","56,368501405","48,87304367","53,5444213469","52,1026076161","56,2788229347","45,8161925613","43,8093113597","46,3982794833"
Liberia,"34,5800747956","36,5888348139","38,7055629173","61,9378613796","62,8978068189","67,9867350762","78,7283071333","84,3145185569","89,2292743217","74,3114212711","73,7242334682","74,6540519402","85,2524142754","83,6216857678","69,8987933346","78,2837595164","68,2010195001","69,7116289794","68,0041577663","71,7785944297","69,4613031175","62,3891011419","59,1468199936","55,5111516719","54,8575409862","55,1747483213",,,,,,,,,,,"8,7867522812","10,7897664896","14,5540955574","26,139145987","28,5613776693","35,7136791063","91,5139462109","26,4594220695","23,8169729544","30,8065247773","32,3717119342","34,3658238348","15,2643992827","19,143652333","27,4845298316"
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,6762370189","33,8314218907","30,5890367886","28,2447492499","27,0352162135","29,1760299625","28,6535303777","26,7863453248","19,3690158531","23,8630737676","35,6305618754","31,8562456385","46,2103174603","62,3850102708","63,2550212195","66,4328541067","71,3030640932","67,5594923965","67,3843117012",,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,0895522388","29,6385542169","23,3529066353","82,5444367903","55,3762407951","47,4116404154","49,9682555716","51,5786809363","45,0560020615","38,6298435702","44,7471182942","49,7848341486","52,7058715078","51,1546821069","52,0520656227","57,5321535823","59,0837609067","54,0917065221","59,877387376","54,6295765684","68,5767760977","77,7786163047"
Luxembourg,"89,0108759537","81,7858584801","79,5080894059","80,6304751856","83,0013679697","79,4632254523","80,7670298964","82,8283497329","86,7025195534","91,4415134422","90,6818066722","85,2678337941","91,9023769558","105,5885994963","95,1355606768","90,6606639025","89,3589093871","86,1869675889","93,5403518157","91,0679281189","89,1404157212","91,5650946449","92,8345636931","104,0004100054","111,5775739384","102,1088225512","99,2661102879","100,8601192223","103,6879409918","101,5482045665","101,438946268","100,4134234671","100,6845382621","104,0196256121","106,4018639008","111,1456519675","120,9226121594","127,5244795406","134,283314726","150,0145465125","146,6371289322","140,7099609701","137,0333938758","152,3911894915","155,837063711","169,8901047057","175,8974099123","181,7796984333","163,5398942445","172,3667163674","176,4903365662"
"Macao, China",,,,,,,,,,,,,,,,,,,,,,"127,1357716159","128,6655908402","129,3179377896","120,932869996","123,5183861295","123,616611679","119,3926873448","117,0306610982","109,9681986647","102,9876906561","91,3348433864","84,8850529168","82,239499792","82,7039526895","83,4442678277","83,6959901153","84,5952161777","86,9557055465","100,4228953797","100,2966059267","104,1463865281","105,5495538317","107,1110938613","94,6017773373","90,0677323236","93,490588496","97,0571042083","94,1415706369","106,2945110533","112,3633336045"
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,819470537","22,9076148972","54,3452232318","46,7501023629","38,1943733048","33,0112102542","28,1802429923","37,3121923345","41,2064987621","42,1717733463","48,6306527349","42,6926843453","38,0297069555","38,0630471106","39,9376793828","44,1345932242","46,6223415058","52,3607560776","50,8969019383","39,0196384913","47,5804937141","49,3977992646"
Madagascar,"14,6047492084","13,755029235","12,7804480351","13,3027974651","13,2117044518","17,2947153374","17,5142527976","17,7503386802","18,10926958","19,1603377304","14,4446683954","14,2629743663","14,2478558246","15,5261612728","15,8595183885","15,1637418263","16,4449912515","17,1510382949","14,5753818089","13,3427556707","11,5052727595","11,2246900366","10,5705514978","13,2829723598","12,2416548068","12,1485579061","16,5645503402","16,2992425409","18,4488139519","16,6021488197","18,1096252174","16,3837789981","15,3175194452","22,0322693823","24,1344846732","20,4924335266","21,866142303","21,5205756975","24,4654181746","30,6793205294","29,0785744469","16,0083794769","23,0857444094","32,6364367839","28,2164001088","29,7320923587","30,3236547425","26,5925023696","28,8257336483","23,7637592217","26,0611780509"
Malawi,"20,6094627105","21,4067278287","21,8635363169","19,4823867721","19,4630872483","21,5053763441","24,0532241556","23,8374938815","23,4762979684","24,2461792648","23,4519104084","23,287250384","27,6373626374","28,0173347779","29,1296960544","30,4411764706",30,"23,1922058922","23,1925977353","24,8432983833","25,6655543916","22,4951830443","20,7515666862","28,3706230618","24,1914755381","22,9107089442","25,4525285621","23,3222055229","18,7799093027","23,7820735868","23,2715835364","23,2062253301","16,1303020466","29,6328221119","30,3684814013","22,8257528447","21,3565094245","32,7701620512","28,0222805786","25,6036524885","27,9912263468","20,8026636397","26,6967151667","24,9598593486","24,0468615851","22,619558715","28,328771198","28,1887742572","24,6489340987","29,376043449","29,5856069636"
Malaysia,"46,0959604104","44,1722966809","42,5635959007","40,8408434216","41,8272954841","40,2089220639","37,3379650332","39,4427111938","42,8997670865","41,4078885309","38,2210863192","34,0166953222","39,1847753708","45,6317558834","43,022761442","48,9469758411","47,3615263824","48,3233925498","55,1786661773","56,6865427467","51,5582381249","50,1302527398","50,4155094386","53,4596433761","54,0887476109","55,4569404148","62,8944973218","66,4155012112","71,3768481199","74,5416959182","77,8261272071","75,9838615168","78,9207424632","89,1512290263","94,0895951597","91,5757931372","93,2894469238","115,7437334348","121,3113911082","119,809708727","110,4024913565","108,3053027951","106,9434461481","115,3733377211","112,8991844762","112,1849168966","106,1693733232","99,4998363526","91,4166636273","93,7459121142","91,557483475"
Maldives,,,,,,,,,,,,,,,,,,,,"153,5433562071","166,3635019225","159,796915915","132,6306107432","77,1664507772","71,6448825875","68,0751034891","78,7150863724","75,8553093758","79,1936500525","85,4529964461","76,9300868984","78,026592743","67,1285868373","77,7358724198","92,6577372714","91,7128843614","91,2225454065","92,4309165029","90,5059126675","89,472848266","57,8619976339","59,7916584634","61,4711843597","64,0262660411","48,821021907","59,6257032704","105,105358889","95,3409133148","82,660873763","96,7188629246","113,508573261"
Mali,,,,,,,"11,3616406725","10,2225699333","11,2036320187","12,4695556202","13,4159109947","10,0292727689","10,1879193511","12,7237253534","9,6611850258","11,0057079985","12,7556950857","11,5979848232","11,9924211791","14,6970037292","13,4278791852","14,3287822536","16,1370759732","17,7959865433","16,7592638346","15,3096876668","16,5561591027","16,3690754231","16,6594859297","17,1494234184","18,2364304999","15,4339751198","15,8383225706","23,0062303533","21,1117966505","20,0338101283","26,1179211603","24,7863645362","26,4509107706","26,782201323","33,2969589962","31,8750092174","26,4213304073","25,3752064903","25,6219120798","32,1126948345","26,1751824818",,,,
Malta,,,,,,,,,,"44,1808667048","45,5107660968","46,5257207297","57,8978287046","74,6413851916","73,6920013188","75,4141813617","76,9238285955","73,5535236036","79,3891795446","80,9335688243","72,5355245227","61,5988544687","59,8059958508","62,4184564978","64,5000328974","64,3349146964","69,5802360381","70,4050047422","72,1342275523","75,833623201","77,3719643726","81,7595782675","84,8121835709","85,9618428798","83,0833671126","77,4213428479","76,2757522882","78,8756091901","82,8844459132","90,5570685813","80,4548442864","83,1220906116","78,8316624803","78,412677393","76,8143319771","86,4865397501","89,2192627083","87,7786910511","78,7763922954","88,1840452975","97,9837322071"
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,"14,3401977124","14,5345306819","25,1982932006","43,5388147771","42,1949949411","42,9981578273","41,6073947842","38,0021634239","38,840451688","40,812392482","40,2203370607","48,2248667143","46,833301324","48,2959199335","38,4403707186","37,9448432432","32,7800737728","33,3667173007","33,1855607029","36,8231525845","45,066458484","40,0644792018","45,7371871534","45,5872462157","59,9089387817","56,1532489112","49,0893017714","50,2684701088","49,8323967383","45,641906243","34,7431745602","31,4940063057","34,6632763999","48,5402224798","58,0273372895","55,7822182127","44,8348977912","30,8558662839","27,2388338438","29,9614344321","29,3975728991","28,3383069648","21,4496454936","25,6494114596","30,7241669425","47,8077790035","43,1756149133","58,9626367743","50,2415318508","62,0100620303","74,1066375404"
Mauritius,,,,,,,,,,,,,,,,"50,5529259117","48,6014045964","43,0438389774","42,4916434799","50,95300809","44,5381312516","46,9583713568","46,4475061342","48,4663024332","53,3023657783","60,2494214691","64,2951579105","64,4539693314","63,9346829192","64,9568965517","62,3052889289","59,3045974542","58,2425393586","56,722760065","58,6575876968","63,5855698279","61,4621055281","65,6837384339","63,935196909","61,3856956521","68,4567637919","61,8190109787","56,6780377719","54,020842554","59,8548729377","61,6146611756","57,8638200078","52,9331863058","48,9609525913","52,5258933698","54,1301165759"
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"8,416077888","8,5572505552","8,3317657375","7,6368211621","7,637845702","7,4657293191","6,8686790773","7,0370583262","7,5381796154","7,7498799157","7,6402366477","8,0640805771","8,4133350644","8,4114069161","6,8941424288","8,4900285441","10,3176255056","10,469188836","11,1909153696","10,7052984347","10,4087556747","15,3310989795","19,0024048693","17,3811366779","15,4148915722","17,3407412317","19,4982677768","19,9278740275","18,9969416387","18,6007926707","16,3648706558","15,2377932478","15,2476138614","16,7887148679","30,3623736514","32,0764996449","30,2668882561","30,6943599269","30,7375086943","30,9390596569","27,5590038003","26,8225779122","25,3548977756","26,6053181522","27,1014282452","27,9684204906","27,927586534","28,047896325","27,7217093586","30,3095470499","31,6682363635"
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,"3,3802816901",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,2246334539","32,4324324324","38,9351112266","21,1230824723","38,2420555258","49,3458259247","55,2671309337","54,7870910491","48,5282925001","52,0864185231","49,7780140809","49,8535486367","52,740427121","53,4812039559","50,7067987018","51,1443043744","45,2559657474","47,4524622329","40,819043779","36,8721225188","39,2252153752","45,0175927123"
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,"23,8708834251","26,2587576594","26,6081706391","29,1796126263","26,7297489754","30,1782083676","30,8032969966","28,4489886154","22,4867754396","18,2747015012","54,0684599831","28,9329932534","59,332189931","44,6306935058","40,5413721221","35,5243256359","52,6663450844","47,8435145131","50,1584406163","53,9967514659","50,318340992","50,7266159784","52,3520495329","60,787774919","58,7693837935","59,4432650776","59,6144484321","54,017035917","50,2779993279","54,6998951774","62,3417284684"
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,8149918504","38,4237510617","35,3626883391","30,6118137872","42,0216199545","46,8023453098","48,4526052836","43,7146578424","38,8337402383","32,0770777109","34,7113831026","40,176310891"
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,"21,7539725319","18,0202659679","17,9222139996","19,4901493951","18,163538874","18,9612530915","17,9034769071","18,4838417397","18,3776178365","17,6369811698","16,9533203036","18,5739987149","20,8367139959","27,5566487776","22,472879075","17,9150533573","16,8959627017","16,3708887841","17,01013813","17,388311513","20,1704829422","19,2490233881","21,2726706051","23,8243124521","25,3494647776","22,0060416751","23,6082623173","25,9300800802","23,5979965029","26,4515754861","24,1111229392","25,0751520616","26,0655176025","24,8918168842","27,4192607791","26,2812840742","28,4609679581","24,4117226219","26,3226796793","27,9822868924","29,4114474135","30,151585224","28,6647757646","29,3704147402","32,3137740937","34,2012734176","35,748571206","37,4780610386","28,7038414961","33,000437","34,5923035054"
Mozambique,,,,,,,,,,,,,,,,,,,,"10,8618560002","9,9495620454","8,3136420655","6,1170534288","4,1456566838","2,859610753","2,5247075407","6,64118328","8,0709181366","8,2234681336","8,1740690354","10,1555823178","13,0545730285","12,9343540483","14,0726213492","15,6010896538","14,7864778889","13,3539300387","12,2491726241","13,1664757225","16,4802054597","23,3852949476","27,3386942293","28,8854919009","30,8777565388","31,7279302386","38,3578683623","35,3503907121","32,2669697069","24,7888127628","26,2844196084","28,9017185111"
Myanmar,"16,4930249381","20,5418678327","17,9398055236","17,2154249955","14,4937051996","13,7779590279","9,5400757837","5,5240328075","5,5673229218","5,214426017","5,5954775247","6,1641293704","5,7946314128","6,0158147111","5,4010307519","5,3049916033","6,3272334665","5,4842766413","8,221775213","9,0989149721","8,8619402985","7,0197177364","6,7699657501","5,8454763414","4,5830434783","4,0980552154","2,4090949228","3,1163512753","2,934240106","1,9432491737","1,5663074993","1,4394852818","1,1733436353","1,1432944402","0,83227363","0,6929467916","0,5758774606","0,4179463478","0,3215511889","0,4946463261","0,4607617025","0,354739474","0,1829688039","0,1839093576",,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,"78,9224393132","65,3037383178","61,746680286","53,8855281526","54,670558799","61,4900662252","67,2206303725","55,4709317086","54,4533994627","58,5061511424","51,9158033218","53,1240918338","52,1932534289","51,9028165986","48,4887849658","49,4884306627","50,582905869","47,5255208644","45,9683857576","46,1612840843","40,8774193548","41,172425086","46,0033869602","43,386768175","39,8111483399","40,4508738116","39,8515584512","50,7337188512","54,1551284512","48,1560274317","42,5533326428","42,6264130499"
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,"7,765084076","5,6448109591","6,8745127919","6,8451134373","7,0131497118","4,9041970803","5,4038932563","5,6611049729","6,6104922298","5,4497191435","8,901092759","10,7738301356","11,7881940741","10,5716598358","11,7848294596","11,5412623648","12,9014541648","11,5915841262","10,2310430332","10,6524501027","11,5292143734","11,6622999067","11,8132750846","11,4471692716","11,0676046556","10,5273091204","11,4907512863","15,9597261293","18,4329641056","18,9939379341","24,9731589825","22,8175751166","26,3278350736","22,8220512224","22,8484720907","23,2840037103","20,7966135093","17,7371295242","15,6999457572","16,6826580022","14,5836867929","13,4471871632","13,0496670225","12,1173334903","15,2553143264","9,5752710737","8,9004914453"
Netherlands,"46,6073737255","45,9426042282","46,0326918447","44,6109586193","42,810786634","41,6514807868","40,4676310118","40,9376263598","42,456808738","44,7591824083","45,0330020484","44,9886860968","46,8388266742","53,3541793935","49,0755972632","50,0835818939","47,1994256782","45,2093772996","49,6547854785","52,3100600278","56,9505033313","56,9615129471","56,6378027184","60,5868260388","62,1495117688","52,6890037271","51,303876883","53,6758319278","57,0942821037","56,4538768407","57,1741622147","55,3762779585","54,5836609145","56,7868077008","59,3652644786","59,6312801989","63,3160645985","62,5623510197","63,0402415373","70,0823045267","67,2761099857","64,1532713977","63,0047489752","66,3928385289","69,6237098442","72,8366060983","74,1953537505","76,275272044","68,5669925947","78,2167000713","82,997077942"
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,4876237917","16,9089199831","13,7104833573","13,1111497126","13,5961768708","15,5638092682","15,3462781857","16,4920122016","11,9903062307","13,0823856563",,,,,,,,,,,,
New Zealand,,,,,,,,,,,"22,6074317731","24,6047029432","24,1445203276","20,7330313114","23,2742680731","26,8926045101","26,4010379742","26,9026175667","28,9387516464","29,1247176211","28,2614652033","28,0527646643","28,6004274999","31,8041141089","29,1251907559","26,3474336451","25,7784176352","25,9462873963","26,0745928932","26,5286791993","28,9110718795","30,9272120266","30,2729694418","30,3237357138","28,6902390962","27,7304532779","27,7024981991","28,9812198971","30,1552342209","35,0261214275","34,5886510184","32,0476296019","28,6806819013","28,6138866292","27,3593301159","28,6206116381","28,3147782619","30,8233704161","27,9147569768","28,4633633191","30,0345663714"
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,"23,4018956223","26,4315577065","28,8242909208","28,8739663438","29,3005186662","27,1151704253","26,4618925854","26,6848685591","24,3859582217","26,7324008894","26,2996898107","35,2892515407","28,2103193664","29,0748893376","28,0427575134","32,9947207326","32,0913335246","34,4096982232","42,024580212","24,2288003564","22,3441657132","15,9788215061","19,4003055978","16,4430387119","14,7661996363","12,7763132749","11,7706828689","17,9808785308","32,5367935415","24,9483535052","21,8219840182","17,2512271307","20,4279268803","13,1398769683","16,0950864059","16,8473580216","19,4195452177","19,3344405689","18,5302796096","20,1081658286","19,0419108201","18,8471358198","20,7049989336","23,0598557349","24,3821309341","27,038858779","29,0760976035","31,9096984651","31,1788128251","36,9713471011","41,0930631141"
Niger,"8,1212351518","9,2835749317","9,3111499768","9,2666605134","9,4848510294","12,4527143575","8,4295356144","7,9775985636","9,3576559887","10,7723830645","12,3678397638","14,2137063072","15,5147694761","12,2705630662","19,2465293859","22,2636539771","19,6425919442","22,5306478799","28,5411485454","24,5849067126","24,156636478","20,9653102032","20,8266630511","22,9130761715","20,6891231603","20,0030318101","20,8016700499","18,3009416458","16,5971522897","15,0133260093","14,0521592899","16,755141818","15,6421751239","16,5319732845","17,1549853818","16,9464691796","16,3916379759","17,7685640187","15,8940919609","17,7991252734","16,9214586255","15,203595981","16,031496063","16,0776289683","15,0381381883",,,,,,
Nigeria,"9,1851273084","8,2691413689","8,7791660957","9,202128662","10,8934486785","10,4138264655","11,0773287413","9,9273216689","11,3910694691","8,4070747085","10,834281088","10,968127815","15,9179209246","25,1785349929","18,3387519939","18,2158160733","24,8724132797","19,5526031121","24,8161353468","29,3751744683","22,529999535","16,3432335534","13,6122776424","14,8508043768","16,098403704","17,0950704662","28,6100013776","23,1219404722","32,6942667282","43,4309787175","37,2167649604","42,2387864733","47,1212058556","41,7557039645","44,2877389663","48,1449978257","44,9515265588","33,5250026868","36,8976223471","53,9769594382","42,9942333364","31,8674224368","42,7027273846","43,9514865394","46,537439318","42,8676180274","41,0199758255","42,7545959162","34,9874360331","35,2043513268","39,6155063015"
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,"34,9508939462","33,7722949325","34,4661431583","36,0215060938","35,7188738817","35,8111498198","36,7937849702","37,8611579292","37,145813738","36,7184664621","35,0293216373","35,2331925921","37,7296827331","40,2575159184","36,4477526011","36,3411103498","34,6513595719","36,3799922065","39,6896737027","43,2408213589","43,2780806314","41,4831255762","41,8422684481","42,9237791183","42,7381107539","34,2355471788","32,3744876515","33,059846152","38,0111243658","40,1460567793","39,9416289494","37,8715286575","37,9162302666","38,1205429634","37,9590794086","40,7807827576","41,360466415","37,6466203655","39,3909028027","46,5363526014","45,7644576342","41,1298127595","40,3311516574","41,7990634478","44,0911692081","45,3716317995","44,1193698527","46,7628990661","39,4261391098","41,1445902983","42,0944466438"
